"Message ID";"Date";"Author";"Subject";"Type";"Category";"Start";"Stop";"Run no";"ConfigID";"Device";"Data Quality";"RegName";"RegVal";"Text"
533;Sun  10 Jul 2022 12:11:30 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 14:10 CET";"2022/07/10 14:11 CET";"553";"49";"W14R12";;;;"Noiserun normal FE default settings, LR 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_141000_eudaq_scan.h5 
mpx2_run553_220710141011.raw"
532;Sun  10 Jul 2022 12:08:57 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 14:07 CET";"2022/07/10 14:08 CET";"552";"49";"W14R12";;;;"Noiserun normal FE default settings, LR 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_140722_eudaq_scan.h5 
mpx2_run552_220710140856.raw"
531;Sun  10 Jul 2022 12:02:41 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 13:59 CET";"2022/07/10 14:02 CET";"551";"49";"W14R12";;;;"Noiserun normal FE default settings, LR 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_135928_eudaq_scan.h5 
mpx2_run551_220710140240.raw"
530;Sun  10 Jul 2022 11:50:46 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 13:50 CET";"2022/07/10 13:50 CET";"550";"49";"W14R12";;;;"Noiserun normal FE default settings, LR 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_135024_eudaq_scan.h5 
mpx2_run550_220710135036.raw"
529;Sun  10 Jul 2022 11:49:56 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 13:45 CET";"2022/07/10 13:49 CET";"549";"49";"W14R12";;;;"Noiserun normal FE default settings, LR 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_134541_eudaq_scan.h5 
mpx2_run549_220710134955.raw"
528;Sun  10 Jul 2022 11:45:38 +0000;"Benjamin Schwenker";"Angular scan W5R9";"Analysis";"generic analysis";"503";"508";;;"W5R9";;;;"Preliminary analysis of angular scan for W5R9 using runs 503, 507 and 508. "
527;Sun  10 Jul 2022 11:44:36 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 13:43 CET";"2022/07/10 13:44 CET";"548";"49";"W14R12";;;;"Noiserun normal FE default settings, LR 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_134304_eudaq_scan.h5 
mpx2_run548_220710134434.raw"
526;Sun  10 Jul 2022 11:40:16 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 13:38 CET";"2022/07/10 13:40 CET";"547";"49";"W14R12";;;;"Noiserun normal FE default settings, LR 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_133850_eudaq_scan.h5 
mpx2_run547_220710133932.raw"
525;Sun  10 Jul 2022 11:38:15 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 13:36 CET";"2022/07/10 13:38 CET";"545";"49";"W14R12";;;;"Low row settings, 20 degree run with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_133608_eudaq_scan.h5 
mpx2_run545_220710132526.raw"
524;Sun  10 Jul 2022 11:25:35 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Debug";"2022/07/10 13:23 CET";"2022/07/10 13:25 CET";"545";"49";"W14R12";;;;"Low row settings, 20 degree run with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_132339_eudaq_scan.h5 
mpx2_run545_220710132526.raw"
523;Sun  10 Jul 2022 11:16:25 +0000;"Maximilian Babeluk";"Config change";"ConfigID";;;;;"49";"W14R12";;;;"Config ID:489
Beam Energy:5MeV
Collimator:12*18
Telescope Config File:geoid49.geo

Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =5cm
MIM26 2 =10cm
TJMP2 3 =14.6cm 
MIM26 4 =18.8
MIM26 5 =23.8
FEI4 6 =-
MIM26 7 =28.8

TJ Monopix2:
x =49.9
y =210
phi = -24
type = Cz
thickness = 300um"
522;Sun  10 Jul 2022 10:54:02 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 12:33 CET";"2022/07/10 12:54 CET";"544";"48";"W14R12";;;;"Low row settings, 10 degree run with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_123358_eudaq_scan.h5 
mpx2_run544_220710123411.raw"
521;Sun  10 Jul 2022 10:31:38 +0000;"Maximilian Babeluk";"Config change";"ConfigID";;"10/07/2022 12:31";;;"48";"W14R12";;;;"Config ID: 48
Beam Energy: 5MeV
Collimator: 12*18
Telescope Config File:geoid48.geo

Geometry:
plane z
===============
MIM26 0 = 0
MIM26 1 = 3.5
MIM26 2 = 7
TJMP2 3 =10.65
MIM26 4 =14.5
MIM26 5 =17.9
FEI4 6 =-
MIM26 7 =21.3

TJ Monopix2:
x =48.2
y =210
phi = -14
type = Cz
thickness = 300um"
520;Sun  10 Jul 2022 10:26:14 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 12:06 CET";"2022/07/10 12:26 CET";"543";"47";"W14R12";;;;"Low row settings, 0 degree run with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_120606_eudaq_scan.h5 
mpx2_run543_220710120627.raw"
519;Sun  10 Jul 2022 10:04:52 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 11:49 CET";"2022/07/10 12:04 CET";"542";"47";"W14R12";;;;"Low row settings, statistic with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_114919_eudaq_scan.h5 
mpx2_run542_220710114933.raw"
518;Sun  10 Jul 2022 09:47:58 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/10 11:14 CET";"2022/07/10 11:47 CET";"541";"47";"W14R12";;"PSUB/PWELL";"1.85";"Low row settings, PSUB/PWELL scan for 1.85V. worked most of the time but for some periods not. Maybe voltage fluctuations in the hameg?
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_111418_eudaq_scan.h5 
mpx2_run541_220710111430.raw"
517;Sun  10 Jul 2022 09:13:47 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/10 11:12 CET";"2022/07/10 11:13 CET";"540";"47";"W14R12";"bad";"PSUB/PWELL";"1.75";"Low row settings, PSUB/PWELL scan for 1.75V 
Worked for few seconds then stoped.
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_111233_eudaq_scan.h5 
mpx2_run540_220710111245.raw"
516;Sun  10 Jul 2022 09:12:16 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/10 11:10 CET";"2022/07/10 11:12 CET";"539";"47";"W14R12";;"PSUB/PWELL";"1.5";"Low row settings, PSUB/PWELL scan for 1.5V 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_111059_eudaq_scan.h5 
mpx2_run539_220710111111.raw"
515;Sun  10 Jul 2022 09:09:43 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/10 11:03 CET";"2022/07/10 11:09 CET";"538";"47";"W14R12";;"PSUB/PWELL";"3";"Low row settings, PSUB/PWELL scan for 3V for a few minuets to check if chip still responds. It does.

eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_110327_eudaq_scan.h5 
mpx2_run538_220710110349.raw"
514;Sun  10 Jul 2022 09:00:31 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/10 10:38 CET";"2022/07/10 11:00 CET";"537";"47";"W14R12";;"PSUB/PWELL";"1V";"Low row settings, PSUB/PWELL scan for 1V. No hits.
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_103855_eudaq_scan.h5 
mpx2_run537_220710103909.raw"
513;Sun  10 Jul 2022 08:52:30 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/10 10:52 CET";;"493";;;;;
512;Sun  10 Jul 2022 08:50:13 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/10 10:50 CET";;"492";;;;;
511;Sun  10 Jul 2022 08:48:02 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/10 10:48 CET";;"491";;;;;
510;Sun  10 Jul 2022 08:38:27 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/10 10:17 CET";"2022/07/10 10:38 CET";"536";"47";"W14R12";;"PSUB/PWELL";"0.75";"Low row settings, PSUB/PWELL scan for 0.75V 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_101706_eudaq_scan.h5 
mpx2_run536_220710101719.raw"
509;Sun  10 Jul 2022 08:22:15 +0000;"Yannik Buch";"HV scan analysis for W5R18";"Analysis";;;;;;"W5R18";;;;"ROI: 448 496 0 512. Otherwise the efficiency is not calculated right."
508;Sun  10 Jul 2022 08:12:40 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 10:10 CET";"2022/07/10 10:12 CET";"535";"47";"W14R12";;;;"HV Long LR run 
eudaq_scan with W14R12 
Pixels: 448:512 --> Frontends: HV FE Casc, HV FE 
20220710_101003_eudaq_scan.h5 
mpx2_run535_220710101021.raw"
507;Sun  10 Jul 2022 08:06:17 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 22:19 CET";"2022/07/10 10:06 CET";"534";"47";"W14R12";;;;"HV Long LR run 
eudaq_scan with W14R12 
Pixels: 448:512 --> Frontends: HV FE Casc, HV FE 
20220709_221915_eudaq_scan.h5 
mpx2_run534_220709221927.raw"
506;Sat  09 Jul 2022 20:30:59 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/09 22:30 CET";;"518";;;;;
505;Sat  09 Jul 2022 20:29:17 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/09 22:29 CET";;"517";;;;;
504;Sat  09 Jul 2022 20:27:28 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/09 22:27 CET";;"516";;;;;
503;Sat  09 Jul 2022 20:26:03 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/09 22:26 CET";;"515";;;;;
502;Sat  09 Jul 2022 20:24:40 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/09 22:24 CET";;"514";;;;;
501;Sat  09 Jul 2022 20:23:03 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/09 22:23 CET";;"513";;;;;
500;Sat  09 Jul 2022 20:18:22 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 22:13 CET";"2022/07/09 22:18 CET";"533";"47";"W14R12";;;;"Low row settings, Alignment run: again with higher energy for lower flux 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_221358_eudaq_scan.h5 
mpx2_run533_220709221410.raw"
499;Sat  09 Jul 2022 20:13:04 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 22:10 CET";"2022/07/09 22:13 CET";"532";"47";"W14R12";;;;"Low row settings, Alignment run 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_221023_eudaq_scan.h5 
mpx2_run532_220709221035.raw"
498;Sat  09 Jul 2022 20:07:10 +0000;"Maximilian Babeluk";"Config change: Low row";"ConfigID";;;;"531";"47";;;;;"Config ID: 47
Beam Energy:4MeV
Collimator: 12*18
Telescope Config File:geoid47.geo

Low row settings


Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =3,5cm
MIM26 2 =7cm
TJMP2 3 =9,85cm
MIM26 4 =11,8cm
MIM26 5 =15,2cm
FEI4 6 = -
MIM26 7 =18,6cm

TJ Monopix2:
x =56.5
y =210
phi = -4.0006
type = Cz
thickness = 300um"
497;Sat  09 Jul 2022 20:01:57 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 22:00 CET";"2022/07/09 22:01 CET";"530";"46";"W14R12";;;;"HV Noise run again, new noisy pixels occured 
Of course the noisy pixels disappeared in this run :|

eudaq_scan with W14R12 
Pixels: 448:512 --> Frontends: HV FE Casc, HV FE 
20220709_220032_eudaq_scan.h5 
mpx2_run530_220709220043.raw"
496;Sat  09 Jul 2022 19:59:55 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 17:07 CET";"2022/07/09 21:59 CET";"529";"46";"W14R12";;;;"HV High statistics, large collimator. 
eudaq_scan with W14R12 
Pixels: 448:512 --> Frontends: HV FE Casc, HV FE 
20220709_170702_eudaq_scan.h5 
mpx2_run529_220709170714.raw"
495;Sat  09 Jul 2022 14:57:14 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 16:50 CET";"2022/07/09 16:57 CET";"526";"46";"W14R12";;;;"Short run to didentify noisy pixels - generous mask created from this run
eudaq_scan with W14R12 
Pixels: 448:512 --> Frontends: HV FE Casc, HV FE 
20220709_165056_eudaq_scan.h5 
mpx2_run526_220709165108.raw"
494;Sat  09 Jul 2022 14:46:02 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 13:45 CET";"2022/07/09 16:46 CET";"525";"46";"W14R12";;;;"Goe DUT, default settings, short HR/LC run for masking, a bit longer this time 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_134515_eudaq_scan.h5 
mpx2_run525_220709134526.raw"
493;Sat  09 Jul 2022 14:10:29 +0000;"Yannik Buch";"Psub Pwell scan analysis for W5R9 ";"Analysis";"VoltageScan";;;;;"W5R9";;;;"Psub Pwell analysis of W5R9. "
492;Sat  09 Jul 2022 11:42:09 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 13:39 CET";"2022/07/09 13:42 CET";"524";"46";"W14R12";;;;"Goe DUT, default settings, short HR/LC run for masking, a bit longer this time 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_133936_eudaq_scan.h5 
mpx2_run524_220709133948.raw"
491;Sat  09 Jul 2022 11:32:18 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 13:31 CET";"2022/07/09 13:32 CET";"523";"46";"W14R12";;;;"Goe DUT, short HR/LC run for testing 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_133149_eudaq_scan.h5 
mpx2_run523_220709133200.raw"
490;Sat  09 Jul 2022 11:26:14 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 13:25 CET";"2022/07/09 13:26 CET";"522";"46";"W14R12";"bad";;;"Goe DUT, Patrick settings, short HR/LC run for pixel masking 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_132510_eudaq_scan.h5 
mpx2_run522_220709132521.raw"
489;Sat  09 Jul 2022 11:24:41 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 13:22 CET";"2022/07/09 13:24 CET";"521";"46";"W14R12";;;;"Goe DUT, default settings, short HR/LC run for testing 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_132254_eudaq_scan.h5 
mpx2_run521_220709132306.raw"
488;Sat  09 Jul 2022 11:22:02 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 13:21 CET";"2022/07/09 13:22 CET";"520";"46";"W14R12";;;;"Goe DUT, Patrick settings, short HR/LC run for pixel masking 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_132114_eudaq_scan.h5 
mpx2_run520_220709132126.raw"
487;Sat  09 Jul 2022 11:17:39 +0000;"Maximilian Babeluk";"Config change: switch to dut W14R12";"ConfigID";;"09/07/2022 13:17";;;"46";;;;;"Config ID: 46
Beam Energy:4MeV
Collimator: 12*18
Telescope Config File:geoid46.geo

new DUT: W14R12


Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =3,5cm
MIM26 2 =7cm
TJMP2 3 =9,85cm
MIM26 4 =11,8cm
MIM26 5 =15,2cm
FEI4 6 = -
MIM26 7 =18,6cm

TJ Monopix2:
x =56.5
y =210
phi = -4.0006
type = epi
thickness = 300um"
486;Sat  09 Jul 2022 11:08:03 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 12:13 CET";"2022/07/09 13:08 CET";"519";"45";"W5R9";;;;"Patrick settings, long run, HR, big collimator 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_121338_eudaq_scan.h5 
mpx2_run519_220709121350.raw"
485;Sat  09 Jul 2022 10:06:44 +0000;"Maximilian Babeluk";"Config change";"ConfigID";;"09/07/ 12:06";;"519";"45";"W5R9";;;;"Config ID: 45
Beam Energy:4MeV
Collimator: 12*18
Telescope Config File:geoid45.geo

Same alignment as 43 (tel and dut)

Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =3,5cm
MIM26 2 =7cm
TJMP2 3 =10.65
MIM26 4 =12.3
MIM26 5 =15.7
FEI4 6 = -
MIM26 7 =19.1

TJ Monopix2:
x =46.5
y =202
phi = -4.0006
type = epi
thickness = 300um"
484;Sat  09 Jul 2022 10:05:41 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/09 12:04 CET";"2022/07/09 12:05 CET";"518";"44";"W5R9";;"PSUB/PWELL";"0.1";"Manual VoltageScan: 0.1V 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_120435_eudaq_scan.h5 
mpx2_run518_220709120448.raw"
483;Sat  09 Jul 2022 10:04:10 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/09 11:53 CET";"2022/07/09 12:04 CET";"517";"44";"W5R9";;"PSUB/PWELL";"0.5";"Manual VoltageScan: 0.5V 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_115348_eudaq_scan.h5 
mpx2_run517_220709115400.raw"
482;Sat  09 Jul 2022 09:53:27 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/09 11:42 CET";"2022/07/09 11:53 CET";"516";"44";"W5R9";;"PSUB/PWELL";"0.625";"Manual VoltageScan: 0.625V 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_114214_eudaq_scan.h5 
mpx2_run516_220709114225.raw"
481;Sat  09 Jul 2022 09:41:49 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/09 11:31 CET";"2022/07/09 11:41 CET";"515";"44";"W5R9";;"PSUB/PWELL";"0.75";"Manual VoltageScan: 0.75V 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_113145_eudaq_scan.h5 
mpx2_run515_220709113156.raw"
480;Sat  09 Jul 2022 09:39:04 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Anaylsis";"generic analysis";"2022/07/09 11:39 CET";;"509";;;;;
479;Sat  09 Jul 2022 09:31:07 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/09 11:20 CET";"2022/07/09 11:31 CET";"514";"44";"W5R9";;"PSUB/PWELL";"5";"Manual VoltageScan: 5V 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_112038_eudaq_scan.h5 
mpx2_run514_220709112050.raw"
478;Sat  09 Jul 2022 09:20:07 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"VoltageScan";"2022/07/09 11:08 CET";"2022/07/09 11:20 CET";"513";"44";"W5R9";;"PSUB/PWELL";"1";"Manual VoltageScan: 1V 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_110859_eudaq_scan.h5 
mpx2_run513_220709110911.raw"
477;Sat  09 Jul 2022 09:07:30 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 09:59 CET";"2022/07/09 11:07 CET";"512";"44";"W5R9";;;;"Default settings, HR, Small collimator, statistics run 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_095941_eudaq_scan.h5 
mpx2_run512_220709100019.raw"
476;Sat  09 Jul 2022 08:00:20 +0000;"Maximilian Babeluk";"Config change: small collimator";"ConfigID";;;;"512";"44";;;;;"Config ID: 44
Beam Energy:4MeV
Collimator: 5*5
Telescope Config File:geoid44.geo

Same alignment as 43 (tel and dut)

Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =3,5cm
MIM26 2 =7cm
TJMP2 3 =10.65
MIM26 4 =12.3
MIM26 5 =15.7
FEI4 6 = -
MIM26 7 =19.1

TJ Monopix2:
x =46.5
y =202
phi = -4.0006
type = epi
thickness = 300um"
475;Sat  09 Jul 2022 07:51:31 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 08:52 CET";"2022/07/09 09:51 CET";"511";"43";"W5R9";;;;"HP long statistics run for default settings at large collimator 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_085220_eudaq_scan.h5 
mpx2_run511_220709085233.raw"
474;Sat  09 Jul 2022 06:33:19 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/09 01:17 CET";"2022/07/09 08:33 CET";"510";"43";"W5R9";;;;"HP long statistics run for default settings at large collimator 
eudaq_scan with W5R9 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220709_011715_eudaq_scan.h5 
mpx2_run510_220709011727.raw"
